Well Row,Well Col,Content,Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),
,,Time,0 h ,0 h 40 min,1 h 20 min,2 h ,2 h 40 min,3 h 20 min,4 h ,4 h 40 min,5 h 20 min,6 h ,6 h 40 min,7 h 20 min,8 h ,8 h 40 min,9 h 20 min,9 h 60 min,10 h 40 min,11 h 20 min,12 h ,12 h 40 min,13 h 20 min,14 h ,14 h 40 min,15 h 20 min,16 h ,16 h 40 min,17 h 20 min,18 h ,18 h 40 min,19 h 20 min,20 h ,20 h 40 min,21 h 20 min,22 h ,22 h 40 min,23 h 20 min,24 h ,24 h 40 min,25 h 20 min,26 h ,26 h 40 min,27 h 20 min,28 h ,28 h 40 min,29 h 20 min,30 h ,30 h 40 min,31 h 20 min,32 h ,32 h 40 min,33 h 20 min,34 h ,34 h 40 min,35 h 20 min,36 h ,
A,1,Sample X1,0.032,0.032,0.033,0.033,0.032,0.031,0.034,0.033,0.036,0.031,0.035,0.033,0.034,0.035,0.033,0.033,0.032,0.031,0.032,0.035,0.033,0.033,0.034,0.035,0.031,0.033,0.034,0.033,0.034,0.034,0.033,0.035,0.033,0.033,0.033,0.035,0.035,0.034,0.034,0.035,0.033,0.032,0.034,0.036,0.036,0.035,0.034,0.035,0.034,0.033,0.035,0.035,0.032,0.034,0.034,
A,2,Sample X2,0.034,0.034,0.036,0.036,0.034,0.035,0.037,0.036,0.037,0.035,0.036,0.036,0.038,0.038,0.036,0.036,0.035,0.035,0.034,0.036,0.039,0.035,0.035,0.035,0.035,0.033,0.038,0.036,0.037,0.037,0.035,0.037,0.036,0.036,0.034,0.036,0.036,0.036,0.036,0.037,0.035,0.036,0.036,0.036,0.04,0.037,0.038,0.036,0.039,0.037,0.038,0.037,0.035,0.037,0.037,
A,3,Sample X3,0.031,0.033,0.031,0.032,0.034,0.033,0.032,0.034,0.035,0.034,0.032,0.117,0.033,0.034,0.03,0.034,0.035,0.031,0.032,0.033,0.033,0.031,0.031,0.034,0.031,0.03,0.033,0.034,0.033,0.033,0.034,0.037,0.034,0.032,0.032,0.034,0.031,0.033,0.032,0.033,0.031,0.032,0.033,0.031,0.035,0.034,0.034,0.034,0.034,0.033,0.035,0.034,0.033,0.034,0.033,
A,4,Sample X4,0.029,0.031,0.031,0.031,0.032,0.031,0.031,0.034,0.034,0.031,0.032,0.032,0.032,0.033,0.03,0.032,0.031,0.029,0.028,0.031,0.032,0.03,0.032,0.033,0.028,0.031,0.033,0.032,0.031,0.032,0.03,0.032,0.031,0.031,0.03,0.032,0.03,0.032,0.033,0.031,0.031,0.031,0.031,0.031,0.036,0.033,0.033,0.036,0.035,0.033,0.035,0.036,0.035,0.037,0.037,
A,5,Sample X5,0.034,0.032,0.034,0.034,0.03,0.032,0.032,0.036,0.033,0.032,0.033,0.031,0.03,0.03,0.031,0.031,0.031,0.033,0.029,0.031,0.031,0.034,0.031,0.029,0.03,0.03,0.033,0.03,0.032,0.032,0.031,0.033,0.032,0.031,0.028,0.033,0.031,0.031,0.032,0.032,0.031,0.029,0.03,0.033,0.034,0.032,0.035,0.031,0.032,0.03,0.032,0.032,0.03,0.033,0.032,
A,6,Sample X6,0.03,0.028,0.03,0.03,0.028,0.032,0.031,0.031,0.033,0.03,0.032,0.031,0.031,0.03,0.029,0.032,0.031,0.03,0.028,0.03,0.03,0.031,0.03,0.034,0.029,0.029,0.034,0.031,0.032,0.031,0.032,0.032,0.031,0.03,0.03,0.033,0.028,0.031,0.031,0.032,0.031,0.03,0.032,0.031,0.033,0.033,0.038,0.033,0.034,0.031,0.033,0.037,0.032,0.031,0.031,
A,7,Sample X7,0.031,0.03,0.034,0.034,0.033,0.031,0.036,0.033,0.033,0.031,0.034,0.033,0.033,0.034,0.032,0.033,0.029,0.031,0.032,0.034,0.035,0.032,0.031,0.032,0.031,0.03,0.034,0.033,0.033,0.033,0.035,0.034,0.033,0.033,0.031,0.035,0.029,0.032,0.032,0.033,0.034,0.031,0.035,0.035,0.036,0.035,0.034,0.034,0.034,0.033,0.035,0.035,0.035,0.034,0.033,
A,8,Sample X8,0.035,0.035,0.039,0.037,0.033,0.033,0.034,0.034,0.034,0.032,0.032,0.036,0.034,0.033,0.033,0.032,0.031,0.03,0.031,0.033,0.035,0.031,0.032,0.033,0.031,0.031,0.033,0.033,0.033,0.033,0.033,0.036,0.033,0.033,0.032,0.034,0.029,0.033,0.033,0.034,0.031,0.033,0.034,0.033,0.037,0.035,0.037,0.033,0.033,0.033,0.035,0.034,0.036,0.035,0.036,
A,9,Sample X9,0.032,0.033,0.034,0.032,0.03,0.03,0.034,0.031,0.034,0.032,0.032,0.034,0.031,0.034,0.035,0.033,0.035,0.031,0.029,0.032,0.032,0.033,0.032,0.032,0.032,0.031,0.032,0.032,0.032,0.032,0.032,0.033,0.032,0.033,0.029,0.034,0.033,0.034,0.033,0.033,0.032,0.031,0.033,0.033,0.035,0.034,0.035,0.037,0.034,0.032,0.035,0.034,0.032,0.034,0.032,
